time,cell_id,generation,type,effect_size,mutation_string
36,17,3,down,0.0,Plk1_rate_down_0
36,18,4,down,0.0,Plk1_rate_down_0
36,18,4,down,0.0,Plk1_rate_down_0
36,18,4,down,0.0,Plk1_rate_down_0
36,19,3,down,0.0,Plk1_rate_down_0
36,19,3,down,0.0,Plk1_rate_down_0
36,19,3,down,0.0,Plk1_rate_down_0
37,0,0,down,0.0,Plk1_rate_down_0
37,0,0,down,0.0,Plk1_rate_down_0
37,0,0,down,0.0,Plk1_rate_down_0
37,2,1,down,0.0,Plk1_rate_down_0
37,2,1,down,0.0,Plk1_rate_down_0
37,2,1,down,0.0,Plk1_rate_down_0
37,3,1,down,0.0,Plk1_rate_down_0
37,3,1,down,0.0,Plk1_rate_down_0
37,3,1,down,0.0,Plk1_rate_down_0
37,4,2,down,0.0,Plk1_rate_down_0
37,4,2,down,0.0,Plk1_rate_down_0
37,4,2,down,0.0,Plk1_rate_down_0
37,5,2,down,0.0,Plk1_rate_down_0
37,5,2,down,0.0,Plk1_rate_down_0
37,5,2,down,0.0,Plk1_rate_down_0
37,5,2,down,0.0,Plk1_rate_down_0
37,6,1,down,0.0,Plk1_rate_down_0
37,6,1,down,0.0,Plk1_rate_down_0
37,7,2,down,0.0,Plk1_rate_down_0
37,7,2,down,0.0,Plk1_rate_down_0
37,7,2,down,0.0,Plk1_rate_down_0
37,8,2,down,0.0,Plk1_rate_down_0
37,8,2,down,0.0,Plk1_rate_down_0
37,9,1,down,0.0,Plk1_rate_down_0
37,9,1,down,0.0,Plk1_rate_down_0
37,10,2,down,0.0,Plk1_rate_down_0
37,10,2,down,0.0,Plk1_rate_down_0
37,10,2,down,0.0,Plk1_rate_down_0
